City,State Name,total crime rate (per 1000),Education Ranking ,cost of living index,Housing Budget,Sunshine,Air quailty,Population Density,Military,Latitude,Longitude
Providence,Rhode Island,35.0741536,28,111.5,2100,57,9.3,3764.8,FALSE,41.823,-71.4187
Charleston,South Carolina,26.32835216,29,101.7,1997,Nah,9.5,460.9,FALSE,32.8168,-79.9687
Orlando,Florida,55.65178694,30,101.4,1599,Nah,7.6,992,FALSE,28.4773,-81.337
St. Paul,Minnesota,41.77101362,31,102,1645,Nah,8.8,2272.3,FALSE,44.9478,-93.1039
Tempe,Arizona,42.28520247,32,92.9,1699,Nah,12.7,1852.3,FALSE,33.3881,-111.9319
Stamford,Connecticut,15.81750562,33,119.2,2400,Nah,8.2,1334.9,FALSE,41.1039,-73.5585
San Diego,California,22.44237333,34,136.2,2750,69,11.2,1675.9,FALSE,32.8313,-117.1222
St. Louis,Missouri,81.1058129,35,89.6,1095,57,10,1905.7,FALSE,38.6359,-90.2451
Torrance,California,21.57966153,36,93.2,3250,Nah,13.2,2717.9,FALSE,33.8346,-118.3416
New Haven,Connecticut,46.94468711,37,107.7,1450,Nah,8.8,2693.4,FALSE,41.3113,-72.9246
Cincinnati,Ohio,51.47114576,38,92.4,1500,Nah,12.1,1500.2,FALSE,39.1413,-84.506
Overland Park,Kansas,24.47,39,83.4,1645,Nah,10.8,993.3,FALSE,38.887,-94.687
Charlotte,North Carolina,22.33714789,40,97.9,1499,64,9.3,1091,FALSE,35.2083,-80.8303
Grand Rapids,Michigan,25.45106765,41,93.7,1350,46,10.1,1719.6,FALSE,42.9619,-85.6562
New Orleans,Louisiana,64.37294993,42,92.4,1600,58,7.6,891.2,FALSE,30.0687,-89.9288
Irving,Texas,26.88827046,43,87.7,1892,Nah,9.6,1386.2,FALSE,32.8583,-96.9702
Columbia,Maryland,60.27356305,44,91.9,2000,Nah,8.9,1274.5,FALSE,39.2004,-76.859
Salt Lake City,Utah,63.69735113,45,105.9,1550,66,10.3,700.3,FALSE,40.7776,-111.9311
Miami,Florida,42.60933809,46,110.1,2400,72,9.5,4945.7,FALSE,25.784,-80.2101
Tampa,Florida,20.33702787,47,101.4,1650,69,8.5,1340.7,FALSE,27.9945,-82.4447
Boulder,Colorado,32.82374515,48,118.7,2400,Nah,10,1594.5,FALSE,40.0248,-105.2524
Raleigh,North Carolina,20.38808944,49,99.7,1495,59,9.2,1232.8,FALSE,35.8324,-78.6429
Richmond,Virginia,47.05013155,50,99.2,1350,62,8.3,1477,FALSE,37.5295,-77.4756
Honolulu,Hawaii,32.72226337,51,158,2200,65,3.3,2214.1,FALSE,21.3294,-157.846
Buffalo,New York,42.36055161,52,97.3,1100,47,7.7,2446.1,FALSE,42.9018,-78.8487
Nashville,Tennessee,66.88893519,53,100.1,1700,55,9.4,541.3,FALSE,36.1715,-86.7842
Columbus,Ohio,48.24120603,54,93.9,1255,45,9.9,1559.5,FALSE,39.9862,-82.9855
Omaha,Nebraska,42.56707497,55,92.9,1250,61,8.9,1299.2,FALSE,41.2627,-96.0529
The Woodlands,Texas,18.59,56,131,2000,Nah,11.4,1021.9,FALSE,30.1738,-95.5134
Durham,North Carolina,45.37572873,57,99.8,1550,Nah,8,939.7,FALSE,35.9792,-78.9022
Dallas,Texas,41.84200778,58,98.5,1700,61,9.6,1522.2,FALSE,32.7935,-96.7667
Scottsdale,Arizona,21.16991216,59,97.6,2400,Nah,12.7,535.1,FALSE,33.6872,-111.8651
Fort Lauderdale,Florida,55.09701513,60,96.6,2099.5,Nah,9.5,2040.2,FALSE,26.133333,-80.15
Rochester,New York,42.19294452,61,97.3,1305,48,7.2,2227.6,FALSE,43.168,-77.6162
Denton,Texas,37.07815275,62,89,1650,Nah,11.3,557.5,FALSE,33.2175,-97.1418
Los Angeles,California,31.15491642,63,140.6,3550,72,13.4,3267.6,FALSE,34.1141,-118.4068
Athens,Georgia,71.83514662,64,95,1560,Nah,10.1,414.8,FALSE,33.9508,-83.3689
Gainesville,Florida,41.7514898,65,97.3,1300,Nah,6.9,814.2,FALSE,29.6804,-82.3459
